YEAR.WEEK,SUMMER,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DAYS,UNEMPLOYMENT,UTILITY.GAS,North CRIMES,West CRIMES,Central CRIMES
2006.0,0,0,0,0,0,0,0,0,0,0,0,0,1,39889,1.705,241,114,143
2006.01,0,0,0,0,0,0,0,0,0,0,0,0,7,39889,1.705,2041,706,822
2006.02,0,0,0,0,0,0,0,0,0,0,0,0,7,39889,1.705,2064,635,799
2006.03,0,0,0,0,0,0,0,0,0,0,0,0,7,39889,1.705,2096,721,846
2006.04,0,0,0,0,0,0,0,0,0,0,0,0,7,39889,1.705,1962,698,782
2006.05,0,0,0,0,0,0,0,0,0,0,0,0,7,39889,1.705,2066,652,853
2006.06,0,1,0,0,0,0,0,0,0,0,0,0,7,39051,1.705,1711,553,707
2006.07,0,1,0,0,0,0,0,0,0,0,0,0,7,39051,1.705,1732,598,649
2006.08,0,1,0,0,0,0,0,0,0,0,0,0,7,39051,1.705,1902,608,807
2006.09,0,1,0,0,0,0,0,0,0,0,0,0,7,39051,1.705,1826,597,813
2006.1,0,0,1,0,0,0,0,0,0,0,0,0,7,37543,1.671,1990,615,840
2006.11,0,0,1,0,0,0,0,0,0,0,0,0,7,37543,1.671,2037,635,789
2006.12,0,0,1,0,0,0,0,0,0,0,0,0,7,37543,1.671,1887,620,747
2006.13,0,0,1,0,0,0,0,0,0,0,0,0,7,37543,1.671,2035,611,845
2006.14,0,0,0,1,0,0,0,0,0,0,0,0,7,35645,1.663,1903,667,786
2006.15,0,0,0,1,0,0,0,0,0,0,0,0,7,35645,1.663,2262,739,931
2006.16,0,0,0,1,0,0,0,0,0,0,0,0,7,35645,1.663,1999,668,860
2006.17,0,0,0,1,0,0,0,0,0,0,0,0,7,35645,1.663,2008,677,831
2006.18,0,0,0,0,1,0,0,0,0,0,0,0,7,37946,1.663,2041,706,854
2006.19,0,0,0,0,1,0,0,0,0,0,0,0,7,37946,1.663,2053,672,867
2006.2,0,0,0,0,1,0,0,0,0,0,0,0,7,37946,1.663,2069,700,803
