Year,RepublicanFraction Alabama,RepublicanFraction Alaska,RepublicanFraction Arizona,RepublicanFraction Arkansas,RepublicanFraction California,RepublicanFraction Colorado,RepublicanFraction Connecticut,RepublicanFraction Delaware,RepublicanFraction Dist. of Col.,RepublicanFraction Florida,RepublicanFraction Georgia,RepublicanFraction Hawaii,RepublicanFraction Idaho,RepublicanFraction Illinois,RepublicanFraction Indiana,RepublicanFraction Iowa,RepublicanFraction Kansas,RepublicanFraction Kentucky,RepublicanFraction Louisiana,RepublicanFraction Maine,RepublicanFraction Maryland,RepublicanFraction Massachusetts,RepublicanFraction Michigan,RepublicanFraction Minnesota,RepublicanFraction Mississippi,RepublicanFraction Missouri,RepublicanFraction Montana,RepublicanFraction Nebraska,RepublicanFraction Nevada,RepublicanFraction New Hampshire,RepublicanFraction New Jersey,RepublicanFraction New Mexico,RepublicanFraction New York,RepublicanFraction North Carolina,RepublicanFraction North Dakota,RepublicanFraction Ohio,RepublicanFraction Oklahoma,RepublicanFraction Oregon,RepublicanFraction Pennsylvania,RepublicanFraction Rhode Island,RepublicanFraction South Carolina,RepublicanFraction South Dakota,RepublicanFraction Tennessee,RepublicanFraction Texas,RepublicanFraction Utah,RepublicanFraction Vermont,RepublicanFraction Virginia,RepublicanFraction Washington,RepublicanFraction West Virginia,RepublicanFraction Wisconsin,RepublicanFraction Wyoming, NatTurnout,AvgGDP,AvgNatIncome,AvgNatWealth,WealthIncomeRatio, DemocratWon
1912,0.10631470540408694,,0.22434259954921112,0.2710304134577697,0.013390976841650916,0.3388663826625962,0.4781747559225951,0.4141296468882676,,0.10514546884214665,0.05281955269745009,,0.49167553311054835,0.3850246188743185,0.34921979790237717,0.39263978605629785,0.34252750471378623,0.34472777189239195,0.059238996043521265,0.34181925880141134,0.3278410785658892,0.47349372715238225,0.5020438609577801,0.37675099554930896,0.02649276543713063,0.38587770880874617,0.39771754025351147,0.33219794895671245,0.28581649078876764,0.48671859987287697,0.33270328422436724,0.456477221350496,0.40995715802926935,0.1678556610732067,0.4375797026970441,0.39568592976975886,0.43229824318979937,0.42420201377589095,0.4086116978103041,0.4766927643465542,0.010963162954326972,0.0,0.31253876049117296,0.11450829386282464,0.53459135502424,0.6028768788968515,0.20496391480373174,0.44788123470133834,0.3341399226380769,0.442959576156784,0.48744559758955475,59.0,,,,4.897139548999999,1
1916,0.22468764136080738,,0.38221709006928406,0.2959067116873988,0.4981582246578175,0.3639248160953885,0.5163063499757634,0.5123906705539358,,0.2069693321056732,0.08189246370467644,,0.44145365246926377,0.5481077888393354,0.5051417042431281,0.5584898971995746,0.4688220773124681,0.47251506318331365,0.07488910251213213,0.5204993223055092,0.45891375251265126,0.5202247473721087,0.5433792377139458,0.5005422373633603,0.05022733982875701,0.48130434952584866,0.39832298838946184,0.42578398976131426,0.40554459418787414,0.4996800219413526,0.5603791666666667,0.4799660441426146,0.5365578300371522,0.4179097254150923,0.49201763022534667,0.46004697411954804,0.3962935489655847,0.5136208991494532,0.5742648336701732,0.5261812039600244,0.02444987775061125,0.5203633475949695,0.4312493738474154,0.18491208006531765,0.39149708566552405,0.6393150989548588,0.324333204102955,0.47692500770117174,0.5047984848003894,0.5357351674612129,0.4333186883412549,61.8,,11944.83008,59569.94922,4.987090588,1
1920,0.3237630154734101,,0.5561130975631742,0.39835654190426045,0.7316839599945211,0.6227820435395278,0.6550424478296029,0.5697808535178778,,0.3313412327876603,0.28828315212652506,,0.6606185954686472,0.7266346953129995,0.5765921966260783,0.7358726831293088,0.6656691880042975,0.4977903731337537,0.30572434910914026,0.6981250895983944,0.5665770030930334,0.7111314577321568,0.7656865549550093,0.7841323037672758,0.14342353057785706,0.5585863062434762,0.6560472896008441,0.6741867471520487,0.6110935649427556,0.6030483092399498,0.7039666214388841,0.5525685030009012,0.7054605160222515,0.43259951020650855,0.810525356448477,0.602439580053403,0.5301307499315161,0.6421508780873928,0.7076815205147852,0.6612090447623442,0.03908355795148248,0.7549069085453182,0.5148795054804397,0.28480940339511845,0.5901486316337902,0.7653005127284559,0.38169391513839546,0.725802202091499,0.5608820347181339,0.8146693289847352,0.6681454683929932,49.2,,11529.90137,38582.89063,3.346333027,0
1924,0.2848940628343177,,0.5377173970502722,0.32369808491461477,0.8742029939291625,0.7217622194527549,0.6909336729255608,0.6105884544628927,,0.33039604814702966,0.19731443977025567,,0.7445008640737343,0.7158172995464701,0.5881784040151027,0.7701736787802361,0.7228324565462924,0.5150879403634843,0.2092664223669924,0.7673887496951287,0.5230960494192974,0.7146916561601208,0.8516450987838246,0.8827013124328679,0.0779494897584612,0.5300486329641587,0.6868254541748886,0.614636076837579,0.6554920708955224,0.6327996610517667,0.6941015272189835,0.5300279802879355,0.6568581383212541,0.4016347190405606,0.8726157975530614,0.7110749164004965,0.468806133488941,0.6784048951315138,0.7740110997402623,0.6205595070631823,0.022401308571542558,0.7882393220919285,0.4508770720612055,0.21295884723409453,0.621959655105849,0.8331228912669992,0.3441901945598348,0.8371435305208579,0.5287643327037539,0.8206220752167993,0.764864963637028,48.9,,12537.43066,49623.08984,3.957995415,0
1928,0.4857738380257604,,0.5768419896782695,0.3948827292110874,0.654207716830417,0.6559949147681026,0.5405994977456873,0.6607557525860249,,0.5862108225037815,0.43992325111061176,,0.6529341755927859,0.5738453134943778,0.6012058277184456,0.6219647090858494,0.7268857678565112,0.5942325589319521,0.23705488497092417,0.6890908533829692,0.5741308881080927,0.4945189896985572,0.7087254195181469,0.585920821200132,0.1783357964741898,0.5572555192401741,0.5904793670978434,0.6359171962221466,0.565351513094981,0.5884386520428924,0.6003304880760447,0.5911515531848133,0.5120798504485073,0.5493552704085649,0.5520252701970454,0.6531723009797107,0.6425850428883598,0.6527797205020281,0.658150195583176,0.49693228186642424,0.08544589982204849,0.6055528446225549,0.5542434566038164,0.51836264313597,0.5388176739577342,0.6704339829729169,0.5401355186953455,0.681756175195284,0.5874087919478833,0.5472344901374007,0.6428998013333821,56.9,,13255.31543,63232.71875,4.770367146,0
1932,0.14293958818558444,,0.3129463976145898,0.12816504428495432,0.39036784912380373,0.4304644331137314,0.5059538428073228,0.5123617494972709,,0.2510917426863223,0.07820663750438026,,0.3944444137152845,0.4321960990147991,0.4399475584672416,0.4093359487659662,0.45172172231686103,0.4047165458479017,0.07027595230196332,0.5638225879582321,0.36947791164658633,0.4794454777709034,0.45910694629044285,0.37725145501754315,0.0356386052783664,0.3551388292322776,0.3801932178960285,0.35907856901897156,0.3059135891865798,0.507217009529683,0.4902212835126277,0.36312673301809706,0.43326554766660363,0.2951424402544234,0.2869479693909372,0.48529545506667815,0.267039721386878,0.38874789219468975,0.5286584265870591,0.44016496735021193,0.018959980829139706,0.350910949431784,0.3281817593371739,0.11413049177042713,0.4207249001463693,0.5839852125693161,0.305286496648684,0.37131721554355274,0.4494513185342221,0.32956515228626043,0.42130639787979096,56.9,10716.40625,9358.504883,49505.76953,5.289922713999999,1
1936,0.12925418747304004,,0.2782489284673963,0.17923093270101895,0.32130050432783114,0.38058275665143776,0.42172986649798583,0.4365967215234893,,0.2390237197012509,0.12638467906919462,,0.34519300402732117,0.40753523129751656,0.42517755437295274,0.4397246905336689,0.46126805892047174,0.40553241060674866,0.11159440071583482,0.5719788857417772,0.3726529554123923,0.44913222413691345,0.40764462196050516,0.33400395702925456,0.02760815822002472,0.3858023565259982,0.28482497939880336,0.4162315012702125,0.2719166210545521,0.491041848504472,0.3992535079803921,0.3679394864214015,0.39837651163011617,0.26600511058033083,0.3083989334418544,0.3922980735618671,0.3284976634668604,0.3150840054539992,0.41796815499563805,0.4320815291202582,0.014258859810979149,0.4403035153819806,0.30936720727873157,0.12390157438519775,0.3005311843875551,0.5660125605147156,0.29502334121374313,0.31042911094406206,0.392972920743049,0.3216963504340216,0.382180874678137,61.0,13599.890630000002,12315.63867,62402.39844,5.066923618,1
1940,0.14401693352907036,,0.3618960863245745,0.21131261444302304,0.4185207540204711,0.5128611523856694,0.4642037873344966,0.45163519284910947,,0.25985598114902,0.14917112891375697,,0.45458734188015953,0.48776629227189533,0.5071617097887884,0.5221141175654656,0.5728685293490761,0.42407921414148514,0.14090924967154492,0.5116609295663002,0.4120810909980431,0.4660697085935973,0.501670599949443,0.4806839343152192,0.04192881666676156,0.4760951852570532,0.4059858853459558,0.5718681297269914,0.3992364689509911,0.4677914696774687,0.48182397747929323,0.4333821456282033,0.4821288544312224,0.2596894418998162,0.5548297718088047,0.4779563434211509,0.42380752807692074,0.45934891311170156,0.4653785888438549,0.4321660666697835,0.04367424621857157,0.5740904654910238,0.32482323707547134,0.1916207304318375,0.3764771974069224,0.549432136848009,0.31669678331074586,0.4107307706039262,0.4290108239370746,0.49074620654076834,0.4702734095782702,62.4,15403.642580000002,13975.388669999998,60977.47266,4.363204002,1
1944,0.1829473666915854,,0.41021623315575056,0.2990410133825218,0.4320869540135181,0.5341906166635524,0.47298022340563395,0.45429218736240423,,0.29676206816524103,0.17402900586092093,,0.4825042402282014,0.48256130634247646,0.528506710336247,0.5226287145117715,0.6059811885069508,0.4536777039594838,0.19395157365579394,0.5249995777954165,0.4814763682143978,0.47088231596313285,0.4948715889312479,0.4720535586424173,0.06443290389160758,0.48527890108643057,0.45286531628094634,0.5858014014625501,0.4537928236899362,0.4787720131196669,0.4931923667497944,0.46481716498878856,0.47484132338718843,0.33287416166384587,0.5420502197284605,0.5018283849065795,0.44304571738470094,0.47545358649789027,0.4860383951087171,0.4132169734609812,0.047858756765277705,0.5832787535117806,0.39352439402928774,0.1889612133129588,0.3947552010452498,0.5706319257740512,0.3748022677597744,0.42628729832650336,0.4511190671831592,0.50910188724815,0.5123445825932504,55.9,25332.64258,23104.95508,58858.78906,2.547453165,1
1948,1.0,,0.44893200962695545,0.2540101087639195,0.4976545286830201,0.4728068133853515,0.5083949731200591,0.50645919607572,,0.40792159036508857,0.2314592092039223,,0.48598265065778135,0.4957515740107356,0.5040665230123211,0.4860477883663683,0.5458983329053437,0.42230737432020654,0.34763948497854075,0.5730841121495327,0.507132720376375,0.44119373672469553,0.508605842286377,0.41103517558897246,0.20645187702132886,0.4165976618496853,0.4483392867898129,0.5415276752314706,0.484055533570769,0.5290107896412466,0.5228258442623519,0.4322780687635587,0.5054220797183319,0.3603077857761948,0.5458092163583013,0.49877401047102354,0.3725296182505796,0.5176142890302767,0.52049062242535,0.418420266052021,0.13529603858423975,0.5242575938925371,0.42870724843444974,0.27323949116115165,0.4547637934879164,0.6249927973461308,0.4614918359903019,0.44791119551896336,0.42424799346425396,0.47724605881274584,0.4780311263098075,52.2,21965.36719,19757.42383,68896.70313,3.487129688,1
